info,lat,lon,type,year
"Attack ID: 081-20  Date:   Vessel: Bulk Carrier  Status: Boarded  Full report: 
 View",1.25,104.0833333,boarded,2020
"Attack ID: 080-20  Date:   Vessel: Product Tanker  Status: Boarded  Full report: 
 View",-5.913471158,105.9984395,boarded,2020
"Attack ID: 079-20  Date:   Vessel: Bulk Carrier  Status: Boarded  Full report: 
 View",20.95055556,107.3022222,boarded,2020
"Attack ID: 078-20  Date:   Vessel: Tanker  Status: Boarded  Full report: 
 View",-6.031519531,105.9295997,boarded,2020
"Attack ID: 077-20  Date:   Vessel: Product Tanker  Status: Boarded  Full report: 
 View",1.084166667,104.1688889,boarded,2020
"Attack ID: 076-20  Date:   Vessel: Product Tanker  Status: Boarded  Full report: 
 View",3.783603526,98.70507717,boarded,2020
"Attack ID: SUS-01  Date:   Vessel: Ro-Ro  Status: Suspicious  Full report: 
 View",4.586111111,2.491388889,suspicious vessel,2020
"Attack ID: 075-20  Date:   Vessel: Fishing Vessel  Status: Boarded  Full report: 
 View",0.532222222,9.129166667,boarded,2020
"Attack ID: 074-20  Date:   Vessel: Fishing Vessel  Status: Boarded  Full report: 
 View",0.923333333,9.135833333,boarded,2020
"Attack ID: 073-20  Date:   Vessel: General Cargo  Status: Boarded  Full report: 
 View",3.790555556,8.775833333,boarded,2020
"Attack ID: 072-20  Date:   Vessel: Product Tanker  Status: Boarded  Full report: 
 View",-14.50027778,40.65138889,boarded,2020
"Attack ID: 071-20  Date:   Vessel: Bulk Carrier  Status: Boarded  Full report: 
 View",18.69049698,-72.35721782,boarded,2020
"Attack ID: 070-20  Date:   Vessel: Bulk Carrier  Status: Boarded  Full report: 
 View",-0.266666667,117.5833333,boarded,2020
"Attack ID: 069-20  Date:   Vessel: Container  Status: Fired Upon  Full report: 
 View",-2.772222222,-80.245,fired upon,2020
"Attack ID: 068-20  Date:   Vessel: Product Tanker  Status: Boarded  Full report: 
 View",1.601944444,104.8688889,boarded,2020
"Attack ID: 067-20  Date:   Vessel: Product Tanker  Status: Boarded  Full report: 
 View",3.5,3.833333333,boarded,2020
"Attack ID: 066-20  Date:   Vessel: Chemical Tanker  Status: Boarded  Full report: 
 View",1.268611111,104.2691667,boarded,2020
"Attack ID: 065-20  Date:   Vessel: Container  Status: Boarded  Full report: 
 View",-4.716944444,11.76722222,boarded,2020
"Attack ID: 064-20  Date:   Vessel: Product Tanker  Status: Attempted  Full report: 
 View",5.985555556,2.350555556,attempted,2020
"Attack ID: 063-20  Date:   Vessel: General Cargo  Status: Boarded  Full report: 
 View",4.9,-1.685277778,boarded,2020
